wordId,english,kurdish,english_length,kurdish_length
83,affluence,mal,9.0,3.0
84,afresh,cardin,6.0,6.0
85,after,piştî,5.0,5.0
86,afterward,peyre,9.0,5.0
87,again,cardin,5.0,6.0
88,again,dîsa,5.0,4.0
89,against,dijber,7.0,6.0
90,against,hember,7.0,6.0
91,age,temen,3.0,5.0
92,agency,ajans,6.0,5.0
93,agenda,rojev,6.0,5.0
94,aggress,êrîşkirin,7.0,9.0
95,aggression,êrîş,10.0,4.0
96,agitate,hejandin,7.0,8.0
97,agitate,têwerdan,7.0,8.0
98,agitate,çelqandin,7.0,9.0
99,ago,berê,3.0,4.0
100,agony,kêşa,5.0,4.0
101,agreement,peyman,9.0,6.0
102,agricultural instruments,alatên çandiniyê,24.0,16.0
103,agricultural instruments,alav,24.0,4.0
104,agricultural instruments,amûret,24.0,6.0
105,agricultural instruments,hacet,24.0,5.0
106,ahead,pêş,5.0,3.0
107,aid,arîkarî,3.0,7.0
108,aide,alîkar,4.0,6.0
109,aide,arîkar,4.0,6.0
110,aim,amanc,3.0,5.0
111,aim,armanc,3.0,6.0
112,air,hewa,3.0,4.0
113,airconditioner,basark,14.0,6.0
114,akin,mîna,4.0,4.0
115,alien,biyanî,5.0,6.0
116,alike,manend,5.0,6.0
117,alike,mîna,5.0,4.0
118,alive,jîndar,5.0,6.0
119,alive,sax,5.0,3.0
120,alive,zindî,5.0,5.0
121,alive,şeng,5.0,4.0
122,all,hemû,3.0,4.0
123,all,sercem,3.0,6.0
124,all,tev,3.0,3.0
125,all,yekpare,3.0,7.0
126,allow,berdan,5.0,6.0
127,allowance,destûr,9.0,6.0
128,allowed,destûr da,7.0,9.0
129,allright!,bila be,9.0,7.0
130,almond,behîv,6.0,5.0
131,almond,melaje,6.0,6.0
132,alone,tenê,5.0,4.0
133,alphabet,alfabe,8.0,6.0
134,already,jixwe,7.0,5.0
135,also,hem,4.0,3.0
136,also,jî,4.0,2.0
137,alter,guherîn,5.0,7.0
138,although,lê belê,8.0,7.0
139,always,domdar,6.0,6.0
140,always,her dem,6.0,7.0
141,always,tim,6.0,3.0
142,am,im,2.0,2.0
143,ambassador,balyoz,10.0,6.0
144,ambassador,sefîr,10.0,5.0
145,ambitious,bi hêrs,9.0,7.0
146,ambush,bûse,6.0,4.0
147,ambush,kemîn,6.0,5.0
148,ameliorate,sererastkirin,10.0,13.0
149,amend,sererastkirin,5.0,13.0
150,amity,dostanî,5.0,7.0
151,amity,nasyarî,5.0,7.0
152,among,nav,5.0,3.0
153,ample,gewre,5.0,5.0
154,ample,girs,5.0,4.0
155,ample,kertek,5.0,6.0
156,an,-yek,2.0,4.0
157,analyze,dahûrandin,7.0,10.0
158,ancestor,bapîr,8.0,5.0
159,ancestor,kalik,8.0,5.0
160,anchor,qulbik,6.0,6.0
161,anchor,xepar,6.0,5.0
162,ancient,kevn,7.0,4.0
163,ancient,mêj,7.0,3.0
164,and,û,3.0,1.0
165,anecdote,derkenar,8.0,8.0
166,anesthetize,belikandin,11.0,10.0
167,anesthetize,benckirin,11.0,9.0
168,angel,ferişteh,5.0,8.0
169,angel,melek,5.0,5.0
170,angry,bi hêrs,5.0,7.0
171,angry,girgîn,5.0,6.0
172,anguish,renc,7.0,4.0
173,animal,sewal,6.0,5.0
174,anise,anix,5.0,4.0
175,anise,anîs,5.0,4.0
176,announce,ragihandin,8.0,10.0
177,announced,ragihand,9.0,8.0
178,annul,rakirin,5.0,7.0
179,anomalous,neasayî,9.0,7.0
180,anonymous,gelêrî,9.0,6.0
181,another,din,7.0,3.0
182,answer,bersiv,6.0,6.0
183,ant,morî,3.0,4.0
184,antecedent,pêşîn,10.0,5.0
185,anterior,mêj,8.0,3.0
186,anticipate,bendeman,10.0,8.0
187,anticipate,payîn,10.0,5.0
188,antique,kevnare,7.0,7.0
189,antique,perûk,7.0,5.0
190,anxiety,tirs,7.0,4.0
191,anxiety,xof,7.0,3.0
192,any,qe,3.0,2.0
193,any,yek,3.0,3.0
194,apex,lûtke,4.0,5.0
195,apex,serî,4.0,4.0
196,apologia,berevanî,8.0,8.0
197,apologia,parêzname,8.0,9.0
198,apologist,berevan,9.0,7.0
199,apostrophe,dabir,10.0,5.0
200,appaled,apore,7.0,5.0
201,appaled,qutifî,7.0,6.0
202,apparatus,alav,9.0,4.0
203,apparatus,amûr,9.0,4.0
204,apparatus,rist,9.0,4.0
205,apparent,diyar,8.0,5.0
206,apparent,vekirî,8.0,6.0
207,appeared,xwiya bû,8.0,8.0
208,appendix,apandîs,8.0,7.0
209,appendix,rûviya zêde,8.0,11.0
210,applicable,guncaw,10.0,6.0
211,applicant,berendam,9.0,8.0
212,application,kiryar,11.0,6.0
213,application,melhem,11.0,6.0
214,apply,sepandin,5.0,8.0
215,apposite,guncaw,8.0,6.0
216,apprehend,fehmkirin,9.0,9.0
217,apprehend,fêmkirin,9.0,8.0
218,apprehend,têgihiştin,9.0,10.0
219,apprehension,aqil,12.0,4.0
220,apprehension,tirs,12.0,4.0
221,apprehension,xof,12.0,3.0
222,appropriate,guncaw,11.0,6.0
223,approve,erêkirin,7.0,8.0
224,approve,pesendkirin,7.0,11.0
225,apt,guncaw,3.0,6.0
226,are,î,3.0,1.0
227,area,aqar,4.0,4.0
228,area,herem,4.0,5.0
229,area,pêgeh,4.0,5.0
230,area,war,4.0,3.0
231,arid,ziwa,4.0,4.0
232,arise,rabûn,5.0,5.0
233,arm,bask,3.0,4.0
234,arm,mil,3.0,3.0
235,arm,pî,3.0,2.0
236,arrange,rêzkirin,7.0,8.0
237,arrange,sererastkirin,7.0,13.0
238,arrest,binçavkirin,6.0,11.0
239,arrest,binçavî,6.0,7.0
240,arrest,rawestandin,6.0,11.0
241,arrest,sekinandin,6.0,10.0
242,arrive,gihan,6.0,5.0
243,art,huner,3.0,5.0
244,article,gotar,7.0,5.0
245,as,fena,2.0,4.0
246,as,mîna,2.0,4.0
247,as,nola,2.0,4.0
248,as,nolî,2.0,4.0
249,as,wek,2.0,3.0
250,as,wekî,2.0,4.0
251,ascension,bilindbûn,9.0,9.0
252,asinine,xêvik,7.0,5.0
253,ask,pirs kirin,3.0,10.0
254,asked,pirs kir,5.0,8.0
255,assassin,bikuj,8.0,5.0
256,assassin,mêrkuj,8.0,6.0
257,assault,êrîş,7.0,4.0
258,assault,êrîşkirin,7.0,9.0
259,assemble,berhevkirin,8.0,11.0
260,assemble,lihevcivîn,8.0,10.0
261,assimilate,lêanîn,10.0,6.0
262,association,komel,11.0,5.0
263,association,komele,11.0,6.0
264,association,sazî,11.0,4.0
265,association,sazûman,11.0,7.0
266,assumption,pêşbînî,10.0,7.0
267,assurance,soz,9.0,3.0
268,astounded,apore,9.0,5.0
269,astounded,qutifî,9.0,6.0
270,astrology,stêrnasî,9.0,8.0
271,at,li,2.0,2.0
272,athirst,tî,7.0,2.0
273,atmosphere,seqa,10.0,4.0
274,attack,êrîş,6.0,4.0
275,attack,êrîşkirin,6.0,9.0
276,attain,gihan,6.0,5.0
277,attempt,ceribandin,7.0,10.0
278,attention,bal,9.0,3.0
279,attention,dêhn,9.0,4.0
280,attention,serinc,9.0,6.0
281,attenuate,kêmkirin,9.0,8.0
282,attractive,balkeş,10.0,6.0
283,auger,behreme,5.0,7.0
284,aunt,xaltî,4.0,5.0
285,aurum,zêr,5.0,3.0
286,author,nivîskar,6.0,8.0
287,author,nûser,6.0,5.0
288,authority,hukûmet,9.0,7.0
289,authority,pispor,9.0,6.0
290,authority,raye,9.0,4.0
291,autonomic,xweser,9.0,6.0
292,autonomous,xweser,10.0,6.0
293,autumn,payîz,6.0,5.0
294,avenue,kolan,6.0,5.0
295,avenue,kûçe,6.0,4.0
296,average,kêmzêde,7.0,7.0
297,await,bendeman,5.0,8.0
298,await,payîn,5.0,5.0
299,award,xelat,5.0,5.0
300,awful,tirsnak,5.0,7.0
301,awkward,pêgiran,7.0,7.0
302,ax,bivir,2.0,5.0
303,axe,bivir,3.0,5.0
304,axle holding pins,akêra sinriyê,17.0,13.0
305,b,b,1.0,1.0
306,back,dû,4.0,2.0
307,back,par,4.0,3.0
308,back,paş,4.0,3.0
309,back,paşve,4.0,5.0
310,back,pey,4.0,3.0
311,back,pişt,4.0,4.0
312,bad,pûç,3.0,3.0
313,bad,sext,3.0,4.0
314,bad,xera,3.0,4.0
315,bad,xwar,3.0,4.0
316,bad omen,bedbext,8.0,7.0
317,bag,çewal,3.0,5.0
318,bail,derhûde,4.0,7.0
319,baker,nanpêj,5.0,6.0
320,balance,hevkêş,7.0,6.0
321,bald,gurî,4.0,4.0
322,bald,keçel,4.0,5.0
323,bald,zelût,4.0,5.0
324,ballad,goranî,6.0,6.0
325,ballad,kilam,6.0,5.0
326,ballad,lawij,6.0,5.0
327,ballet,bale,6.0,4.0
328,balloon,nepox,7.0,5.0
329,ballot,deng,6.0,4.0
330,ban,qedexe,3.0,6.0
331,ban,qedexekirin,3.0,11.0
332,bangle,xelek,6.0,5.0
333,bank,bank,4.0,4.0
334,bank,kom,4.0,3.0
335,bankrupt,babidest,8.0,8.0
336,bankrupt,malketî,8.0,7.0
337,banner,al,6.0,2.0
338,bar,çaw,3.0,3.0
339,bar,ço,3.0,2.0
340,bark,ewtîn,4.0,5.0
341,barley,ceh,6.0,3.0
342,barrister,parêzer,9.0,7.0
343,base,bin,4.0,3.0
344,base,bingeh,4.0,6.0
345,base,binyad,4.0,6.0
346,base,binî,4.0,4.0
347,base,hîm,4.0,3.0
348,base,xîm,4.0,3.0
349,baseless,bêbingeh,8.0,8.0
350,basic,bingehîn,5.0,8.0
351,basic,sade,5.0,4.0
352,basin,çapemenî,5.0,8.0
353,basis,bingeh,5.0,6.0
354,basis,binyad,5.0,6.0
355,basis,hîm,5.0,3.0
356,basket,selik,6.0,5.0
357,bat,çilîçilî,3.0,8.0
358,batter,kutan,6.0,5.0
359,batter,lêbezîn,6.0,7.0
360,batter,lêdan,6.0,5.0
361,batter,lêxistin,6.0,8.0
362,battle,ceng,6.0,4.0
363,bay,ewtîn,3.0,5.0
364,be,bûn,2.0,3.0
365,beach,perav,5.0,5.0
366,beam,biriqîn,4.0,7.0
367,beam,teyisîn,4.0,7.0
368,beam,çirûsîn,4.0,7.0
369,bear,ragirtin,4.0,8.0
370,beard,rih,5.0,3.0
371,beast,sewal,5.0,5.0
372,beat,kutan,4.0,5.0
373,beat,lêbezîn,4.0,7.0
374,beat,lêdan,4.0,5.0
375,beat,lêxistin,4.0,8.0
376,beauteous,bedew,9.0,5.0
377,beauteous,zerî,9.0,4.0
378,beautiful,bedew,9.0,5.0
379,beautiful,zerî,9.0,4.0
380,beauty,bedewî,6.0,6.0
381,beauty,rindî,6.0,5.0
382,became,bû,6.0,2.0
383,because,ji ber ku,7.0,9.0
384,because,lewre,7.0,5.0
385,become,bûn,6.0,3.0
386,becomes,bû ne,7.0,5.0
387,bed,nivîn,3.0,5.0
388,bee,mêş,3.0,3.0
389,been,bû,4.0,2.0
390,before,berê,6.0,4.0
391,before,bêyî ku,6.0,7.0
392,before,pêşîn,6.0,5.0
393,began,dest pê kir,5.0,11.0
394,beggar,geda,6.0,4.0
395,beggar,parsek,6.0,6.0
396,begin,destpêkirin,5.0,11.0
397,beginning,destpêk,9.0,7.0
398,behave,tevgerîn,6.0,8.0
399,behold,dîtin,6.0,5.0
400,being,bûn,5.0,3.0
401,belief,bawerî,6.0,6.0
402,belief,qinyat,6.0,6.0
403,believe,bawerkirin,7.0,10.0
404,believe,bawerî,7.0,6.0
405,believe,bawerîpêanîn,7.0,12.0
406,believe,pêewlebûn,7.0,9.0
407,believe,yeqînkirin,7.0,10.0
408,bell,naqos,4.0,5.0
409,bell,zengil,4.0,6.0
410,below,bin,5.0,3.0
411,bench,sekû,5.0,4.0
412,beneficial,bikêrhatî,10.0,9.0
413,benefit,havil,7.0,5.0
414,benefit,kar,7.0,3.0
415,benefit,kelk,7.0,4.0
416,benefit,sûd,7.0,3.0
417,beside,kêlek,6.0,5.0
418,beside,rex,6.0,3.0
419,beside,tenişt,6.0,6.0
420,best,herî baş,4.0,8.0
421,better,çêtir,6.0,5.0
422,between,navber,7.0,6.0
423,bewilder,gêjkirin,8.0,8.0
424,bicycle,duçerxe,7.0,7.0
425,big,gewre,3.0,5.0
426,big,girs,3.0,4.0
427,big,girîng,3.0,6.0
428,big,mezin,3.0,5.0
429,biggest,ye/ya herî mezin,7.0,16.0
430,bilk,xapandin,4.0,8.0
431,billfold,kîs,8.0,3.0
432,biology,biyolojî,7.0,8.0
433,birth,zayîn,5.0,5.0
434,bitter,req,6.0,3.0
435,bitter,sext,6.0,4.0
436,bitter,zeb,6.0,3.0
437,black,gemar,5.0,5.0
438,black,kirêt,5.0,5.0
439,black,mujikî,5.0,6.0
440,black,qilêr,5.0,5.0
441,black,reş,5.0,3.0
442,black,tarî,5.0,4.0
443,black,çepel,5.0,5.0
444,blacksmith,hesinkar,10.0,8.0
445,blade,şûr,5.0,3.0
446,blast,teqîn,5.0,5.0
447,bleed,xwînjêhatin,5.0,11.0
448,blemish,kêmasî,7.0,6.0
449,blemish,xeletî,7.0,6.0
450,blind,kor,5.0,3.0
451,blood,xwîn,5.0,4.0
452,blood,xû,5.0,2.0
453,blush,fedîkirin,5.0,9.0
454,bodies,leş,6.0,3.0
455,body,beden,4.0,5.0
456,body,cendek,4.0,6.0
457,body,laş,4.0,3.0
458,boil,kelandin,4.0,8.0
459,bold,aza,4.0,3.0
460,bold,dilawêr,4.0,7.0
461,bold,egît,4.0,4.0
462,bold,mêrxas,4.0,6.0
463,bold,çeleng,4.0,6.0
464,bolt,brûsk,4.0,5.0
465,bombs,bomb,5.0,4.0
466,bone,hestî,4.0,5.0
467,book,pirtûk,4.0,6.0
468,booty,extirme,5.0,7.0
469,border,kevî,6.0,4.0
470,border,sînor,6.0,5.0
471,border,tixub,6.0,5.0
472,borer,behreme,5.0,7.0
473,both,her dû,4.0,6.0
474,bottom,bin,6.0,3.0
475,bottom,binyad,6.0,6.0
476,bottom,binî,6.0,4.0
477,bottom,jêr,6.0,3.0
478,bound,girêdayî,5.0,8.0
479,boundary,sînor,8.0,5.0
480,boundary,tixub,8.0,5.0
481,bounteous,camêr,9.0,5.0
482,bounteous,çavfireh,9.0,8.0
483,bowel,rovî,5.0,4.0
484,boy,lawik,3.0,5.0
485,boy,xort,3.0,4.0
486,boyfriend,hevalê xort,9.0,11.0
487,bracelet,bazin,8.0,5.0
488,bracket,kevan,7.0,5.0
489,brain,aqil,5.0,4.0
490,brain,jîrî,5.0,4.0
491,brave,dilawêr,5.0,7.0
492,brave,egît,5.0,4.0
493,brave,leheng,5.0,6.0
494,brave,mêrxas,5.0,6.0
495,brave,çeleng,5.0,6.0
496,brawl,pevçûn,5.0,6.0
498,breath,bêhn,6.0,4.0
499,breath,henase,6.0,6.0
500,breed,babet,5.0,5.0
501,breed,zayend,5.0,6.0
502,breeze,sir,6.0,3.0
503,brew,kelandin,4.0,8.0
504,bride,bûk,5.0,3.0
505,bridge,pir,6.0,3.0
506,briefly,bi kinahî,7.0,9.0
507,bright,bextewar,6.0,8.0
508,bright,jîr,6.0,3.0
509,bright,xûjal,6.0,5.0
510,bright,zelal,6.0,5.0
511,brim,kevî,4.0,4.0
512,bring,anîn,5.0,4.0
513,bring,weranîn,5.0,7.0
514,broad,diyar,5.0,5.0
515,broad,fireh,5.0,5.0
516,broke,şikand,5.0,6.0
517,broken,aloz,6.0,4.0
518,broken,xera,6.0,4.0
519,broken,şkestî,6.0,6.0
520,bruise,gerisandin,6.0,10.0
521,bruise,çewsandin,6.0,9.0
522,brute,sewal,5.0,5.0
523,bucket,satil,6.0,5.0
524,budget,diravname,6.0,9.0
525,build,avakirin,5.0,8.0
526,build,damezrandin,5.0,11.0
527,build,sazkirin,5.0,8.0
528,build,çêkirin,5.0,7.0
529,bullock,ga,7.0,2.0
530,bureau,nivîsgeh,6.0,8.0
531,burn,şewitandin,4.0,10.0
532,burn,şewitîn,4.0,7.0
533,burnish,biriqandin,7.0,10.0
534,burnish,mesqelkirin,7.0,11.0
535,burnish,teyisandin,7.0,10.0
536,burst,teqîn,5.0,5.0
537,business,pirsgirêk,8.0,9.0
538,buss,paçkirin,4.0,8.0
539,buss,ramûsîn,4.0,7.0
540,but,belam,3.0,5.0
541,but,bes,3.0,3.0
542,but,lê,3.0,2.0
543,button,bişkoj,6.0,6.0
544,buttonhole,mêjî,10.0,4.0
545,buy,kirîn,3.0,5.0
546,by,bi,2.0,2.0
547,by,heta,2.0,4.0
548,by,heya,2.0,4.0
549,by force,bi kotekî,8.0,9.0
550,bystander,bîner,9.0,5.0
551,cabbage,dizîn,7.0,5.0
552,cabbage,çilfisandin,7.0,11.0
553,cache,hilanîn,5.0,7.0
554,cake,kulîçe,4.0,6.0
555,calculate,hesibandin,9.0,10.0
556,call,bang,4.0,4.0
557,call,dengdan,4.0,7.0
558,call,dengkirin,4.0,9.0
559,call,denglêkirin,4.0,11.0
560,call,gazî,4.0,4.0
561,call,gazîkirin,4.0,9.0
562,calls,bang dike,5.0,9.0
563,calm,aram,4.0,4.0
564,calm,asûde,4.0,5.0
565,caloric,tîn,7.0,3.0
566,came,hat,4.0,3.0
567,camp,baregeh,4.0,7.0
568,camp,wargeh,4.0,6.0
569,can,dikare,3.0,6.0
570,canal,co,5.0,2.0
571,canal,cok,5.0,3.0
572,cancel,betalkirin,6.0,10.0
573,candidate,berendam,9.0,8.0
574,candidate,namzed,9.0,6.0
575,candle,find,6.0,4.0
576,cane,gopal,4.0,5.0
577,cap,kum,3.0,3.0
578,capacity,kapasîte,8.0,8.0
579,capital,paytext,7.0,7.0
580,capital,serbajar,7.0,8.0
581,caption,sernûçe,7.0,7.0
582,captured,girtî,8.0,5.0
583,car,tirimbêl,3.0,8.0
584,card,kart,4.0,4.0
585,care,bergirî,4.0,7.0
586,care,xem,4.0,3.0
587,carefree,bêxem,8.0,5.0
588,careful,baldar,7.0,6.0
589,caressing each other,bihevşabûn,20.0,10.0
590,carpet,tej,6.0,3.0
591,carrot,gêzer,6.0,5.0
592,carry,birin,5.0,5.0
593,carry,guhêztin,5.0,8.0
594,carry,veguhêztin,5.0,10.0
595,case,doz,4.0,3.0
596,cat,pisîk,3.0,5.0
597,cataclysm,bêtar,9.0,5.0
598,catastrophe,bêtar,11.0,5.0
599,catch,girtin,5.0,6.0
600,catch,zeftkirin,5.0,9.0
601,category,çîn,8.0,3.0
602,cause,sedem,5.0,5.0
603,caution,bergirî,7.0,7.0
604,caution,haydan,7.0,6.0
605,cave,şikeft,4.0,6.0
606,cease,kutabûn,5.0,7.0
607,cease,rawestandin,5.0,11.0
608,ceiling,sepîtk,7.0,6.0
609,celebrated,binavûdeng,10.0,10.0
610,celebrated,navdar,10.0,6.0
611,cell,şane,4.0,4.0
612,cellar,xenzik,6.0,6.0
613,center,navend,6.0,6.0
614,center,naverast,6.0,8.0
615,central,navendî,7.0,7.0
616,centre,navend,6.0,6.0
617,centre,naverast,6.0,8.0
618,centres,navend,7.0,6.0
619,centrical,navendî,9.0,7.0
620,century,sedsal,7.0,6.0
621,ceramic,ferfûr,7.0,6.0
622,ceramics,ferfûr,8.0,6.0
623,certain,mîsoger,7.0,7.0
624,chafe,firkandin,5.0,9.0
625,chamber,menzel,7.0,6.0
626,chamber,ode,7.0,3.0
627,chameleon,margîse,9.0,7.0
628,change,guharin,6.0,7.0
629,change,guhartin,6.0,8.0
630,change,guherandin,6.0,10.0
631,change,guherîn,6.0,7.0
632,changed,guhart,7.0,6.0
633,changed,guherrandin,7.0,11.0
634,changed,guherrî,7.0,7.0
635,changed,guhorrand,7.0,9.0
636,changed,guhorrî,7.0,7.0
637,channel,co,7.0,2.0
638,channel,cok,7.0,3.0
639,chanticleer,dîk,11.0,3.0
640,chaos,alozî,5.0,5.0
641,chapter,beş,7.0,3.0
642,character,sinc,9.0,4.0
643,character,taybetmendî,9.0,11.0
644,characterize,binavkirin,12.0,10.0
645,charge,barkirin,6.0,8.0
646,charge,biha,6.0,4.0
647,charge,buha,6.0,4.0
648,charge,tawanbarkirin,6.0,13.0
649,chary,baldar,5.0,6.0
650,chase,seyd,5.0,4.0
651,chaste,xwerû,6.0,5.0
652,cheap,erzan,5.0,5.0
653,cheat,xapandin,5.0,8.0
654,cheat,xirandin,5.0,8.0
655,checkroom,derben,9.0,6.0
656,cheek,dêm,5.0,3.0
657,cheerful,şeng,8.0,4.0
658,cheese,penîr,6.0,5.0
659,child,zarok,5.0,5.0
660,childhood,biçûkahî,9.0,8.0
661,children,zarok,8.0,5.0
662,chilly,hênik,6.0,5.0
663,chilly,sar,6.0,3.0
664,chimney,bixêrî,7.0,6.0
665,chimney,kulek,7.0,5.0
666,chin,zenî,4.0,4.0
667,chorus,koro,6.0,4.0
668,chuck,avêtin,5.0,6.0
669,church,dêr,6.0,3.0
670,cinder,arî,6.0,3.0
671,cinder,xwelî,6.0,5.0
672,city,bajar,4.0,5.0
673,claim,dilkirin,5.0,8.0
674,claim,maf,5.0,3.0
675,claim,xwestin,5.0,7.0
676,claimed,heqê,7.0,4.0
677,class,çîn,5.0,3.0
678,classes,çîn,7.0,3.0
679,claw,kulab,4.0,5.0
680,clay,gil,4.0,3.0
681,clean,avîje,5.0,5.0
682,clean,pak,5.0,3.0
683,clean,pakkirin,5.0,8.0
684,clean,pakûj,5.0,5.0
685,clean,paqij,5.0,5.0
686,clean,paqijkirin,5.0,10.0
687,clean,xwerû,5.0,5.0
688,cleanly,avîje,7.0,5.0
689,cleanly,pak,7.0,3.0
690,cleanly,paqij,7.0,5.0
691,clear,diyar,5.0,5.0
692,clear,eşkere,5.0,6.0
693,clear,pakûj,5.0,5.0
694,clear,paqijkirin,5.0,10.0
695,clear,pendî,5.0,5.0
696,clear,temîz,5.0,5.0
697,clear,zelal,5.0,5.0
698,clever,aqilmend,6.0,8.0
699,clever,jêhatî,6.0,6.0
700,clever,zîrek,6.0,5.0
701,clever,zîrevan,6.0,7.0
702,clique,kom,6.0,3.0
703,close,girtî,5.0,5.0
704,closer,nêzîktir,6.0,8.0
705,cloth,caw,5.0,3.0
706,cloud,ewr,5.0,3.0
707,cloudy,ewrawî,6.0,6.0
708,clover,ket,6.0,3.0
709,clover,nefel,6.0,5.0
710,club,komele,4.0,6.0
711,cluster,kom,7.0,3.0
712,coal,rijî,4.0,4.0
713,coat,sako,4.0,4.0
714,cock,dîk,4.0,3.0
715,coffin,darbest,6.0,7.0
716,colander,mefsik,8.0,6.0
717,cold,bahor,4.0,5.0
718,cold,sar,4.0,3.0
719,cold,zekem,4.0,5.0
720,collar,berstûk,6.0,7.0
721,collar,gerdenî,6.0,7.0
722,collar,pastîn,6.0,6.0
723,collar,pîst,6.0,4.0
724,collect,komkirin,7.0,8.0
725,color,boyax,5.0,5.0
726,color,gûn,5.0,3.0
727,color,reng,5.0,4.0
728,come,gehîştin,4.0,8.0
729,come,gihaştin,4.0,8.0
730,come,hatin,4.0,5.0
731,come,ragihiştin,4.0,10.0
732,comic,degel,5.0,5.0
733,comic,ecêb,5.0,4.0
734,command,ferman,7.0,6.0
735,commend,pesindan,7.0,8.0
736,commentary,şîrove,10.0,6.0
737,commerce,bazirganî,8.0,9.0
738,commission,komîsyon,10.0,8.0
739,commission,lijne,10.0,5.0
740,commission,peywir,10.0,6.0
741,commission,vatinî,10.0,6.0
742,common,digel,6.0,5.0
743,common,gelemper,6.0,8.0
744,common,gelemperî,6.0,9.0
745,common,gerdûnî,6.0,7.0
746,common,giştî,6.0,5.0
747,common,hevbeş,6.0,6.0
748,common,hevpar,6.0,6.0
749,common,ligel,6.0,5.0
750,communicate,ragihandin,11.0,10.0
751,communism,komunîzm,9.0,8.0
752,community,civat,9.0,5.0
753,companion,heval,9.0,5.0
754,company,malpar,7.0,6.0
755,company,şirket,7.0,6.0
756,compendious,kin,11.0,3.0
757,compendious,kurt,11.0,4.0
758,competent,hemser,9.0,6.0
759,competent,hevser,9.0,6.0
760,competent,hinkuf,9.0,6.0
761,competition,pozberî,11.0,7.0
762,competitor,berber,10.0,6.0
763,compilation,berhevok,11.0,8.0
764,compile,berhevkirin,7.0,11.0
765,complete,tev,8.0,3.0
766,component,hêman,9.0,5.0
767,computer,komputer,8.0,8.0
768,conceal,veşartin,7.0,8.0
769,conceited,pozbilind,9.0,9.0
770,conception,têgih,10.0,5.0
771,conception,têgîn,10.0,5.0
772,concern,bal,7.0,3.0
773,concern,pêwendî,7.0,7.0
774,concern,xem,7.0,3.0
775,concerned,pêwend,9.0,6.0
776,concert,sazdêran,7.0,8.0
777,concise,kurt,7.0,4.0
